standardized_smiles,rmsd,title_vina,Original_SMILES_vina,score_vina,title_glide,Original_SMILES_glide,score_glide,PharmFit_score,Total_RSA,Side_chain_RSA
Cc1nn(CC(=O)N2CCC3(CC2)OCCO3)c(=O)c2c(-n3cccc3)n(-c3cccc(F)c3)nc12,1.2606957013446536,HIT105860007.pdbqt,Cc1nn(CC(=O)N2CCC3(CC2)OCCO3)c(=O)c2c(-n3cccc3)n(-c3cccc(F)c3)nc12,-7.9,ligprep_chemdiv-stock1_02_400000_split-10_8.sdf:6724,Cc1nn(CC(=O)N2CCC3(CC2)OCCO3)c(=O)c2c(-n3cccc3)n(-c3cccc(F)c3)nc12,-6.01693,2.83637,0.3179319044399489,0.0441675031541037
CCOc1cc(C2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)ccc1OCC(N)=O,1.5765174078147248,HIT100531985.pdbqt,CCOc1cc(C2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)ccc1OCC(N)=O,-7.8,ligprep_chemdiv-stock1_02_400000_split-10_0.sdf:12882,CCOc1cc([C@H]2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)ccc1OCC(N)=O,-6.68465,2.80566,0.3190119694904662,0.0382914073098856
Cc1cccc(-c2c3c(=O)n(C)c(=O)n(C)c3c3n2-c2ccccc2NC3c2ccco2)c1,0.6242943089941013,HIT102285018.pdbqt,Cc1cccc(-c2c3c(=O)n(C)c(=O)n(C)c3c3n2-c2ccccc2NC3c2ccco2)c1,-8.2,ligprep_chemdiv-stock1_02_400000_split-10_0.sdf:37111,Cc1cccc(-c2c3c(=O)n(C)c(=O)n(C)c3c3n2-c2ccccc2N[C@H]3c2ccco2)c1,-6.26076,2.72138,0.3448063948791645,0.0652061154097879
CCOc1ccc(C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1OC,2.024322937388872,HIT104280749.pdbqt,CCOc1ccc(C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1OC,-8.0,ligprep_chemdiv-stock1_02_400000_split-10_0.sdf:12779,CCOc1ccc([C@H]2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1OC,-6.49891,2.67804,0.3194848788321495,0.0382914073098856
O=C1CC(c2ccc(F)c(Br)c2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,1.512526835181067,HIT107574755.pdbqt,O=C1CC(c2ccc(F)c(Br)c2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-8.4,ligprep_chemdiv-stock1_02_400000_split-10_1.sdf:3121,O=C1C[C@H](c2ccc(F)c(Br)c2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-6.20592,2.629,0.3191911845490293,0.0382914073098856
CCOc1cc(C2CC(=O)Nc3nc(SCc4cccc(C)c4)[nH]c(=O)c32)ccc1OC,2.285571759839318,HIT101017546.pdbqt,CCOc1cc(C2CC(=O)Nc3nc(SCc4cccc(C)c4)[nH]c(=O)c32)ccc1OC,-7.7,ligprep_chemdiv-stock1_02_400000_split-10_1.sdf:3156,CCOc1cc([C@H]2CC(=O)Nc3nc(SCc4cccc(C)c4)[nH]c(=O)c32)ccc1OC,-6.65454,2.62405,0.319405920393055,0.0382914073098856
COc1ccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)c(OC)c1,2.164004555252025,HIT102102029.pdbqt,COc1ccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)c(OC)c1,-7.9,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3038,COc1ccc(NC(=O)[C@H]2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)c(OC)c1,-6.79134,2.62264,0.319182773929357,0.0382914073098856
CCCOc1ccc(C2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)cc1OC,1.9077760575490963,HIT100145035.pdbqt,CCCOc1ccc(C2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)cc1OC,-7.8,ligprep_chemdiv-stock1_02_400000_split-10_1.sdf:3234,CCCOc1ccc([C@H]2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)cc1OC,-6.25936,2.60991,0.319203111679555,0.0382914073098856
Cc1c(Cl)cccc1NC(=O)C1CC(=O)Nc2nc(SCc3ccccc3F)[nH]c(=O)c21,2.1476981300481923,HIT104924434.pdbqt,Cc1c(Cl)cccc1NC(=O)C1CC(=O)Nc2nc(SCc3ccccc3F)[nH]c(=O)c21,-8.6,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3145,Cc1c(Cl)cccc1NC(=O)[C@H]1CC(=O)Nc2nc(SCc3ccccc3F)[nH]c(=O)c21,-6.71476,2.60468,0.3184541180329145,0.0382914073098856
O=C1CC(C(=O)Nc2cccc(Br)c2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,2.0062762789140787,HIT105860906.pdbqt,O=C1CC(C(=O)Nc2cccc(Br)c2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-8.3,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3023,O=C1C[C@H](C(=O)Nc2cccc(Br)c2)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-6.60601,2.59021,0.3215483227037312,0.040431289188876
